page-links,page-links-href,title,authors,conference,link
Hardware and Architecture,http://research.google.com/pubs/HardwareandArchitecture.html,Bubble-Up: Increasing Utilization In Modern Warehouse Scale Computers Via Sensible Co-Locations,"Jason Mars, Linjia Tang, Robert Hundt, Kevin Skadron, Mary Lou Souffa","Proceedings of the 44th Annual IEEE/ACM International Symposium on Microarchitecture, 2011, IEEE, New York, NY, USA",/pubs/archive/37675.pdf
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,Playing games in many possible worlds,"Matt Lepinski, David Liben-Nowell, Seth Gilbert, April Rasala Lehman","ACM Conference on Electronic Commerce (2006), pp. 150-159",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Triangulation Refinement and Approximate Shortest Paths in Weighted Regions,"Siu-Wing Cheng, Jiongxin Jin, Antoine Vigneron","Proceedings of the 26th Annual ACM-SIAM Symposium on Discrete Algorithms (2015), pp. 1626-1640",
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Transparent dynamic instrumentation,"Derek Bruening, Qin Zhao, Saman Amarasinghe","Proceedings of the 8th ACM SIGPLAN/SIGOPS conference on Virtual Execution Environments, ACM, New York, NY, USA (2012), pp. 133-144",/pubs/archive/38225.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Recursive Sparse Spatiotemporal Coding,"Thomas Dean, Greg Corrado, Richard Washington","Proceedings of the Fifth IEEE International Workshop on Multimedia Information Processing and Retrieval, IEEE Computer Society (2009)",/pubs/archive/41118.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Quantum Money,"Scott Aaronson, Edward Farhi, David Gosset, Avinatan Hassidim, Jon Kelner","Communications of the ACM, vol. 55 No. 8 (2012), pp. 84-92",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,8 Things to Consider when Designing Interactive TV Experiences,"Noor Ali-Hasan, Bianca Soto",TVX 2015 - ACM International Conference on Interactive Experiences for Television and Online Video,/pubs/archive/43865.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Temporal/Spatial Calendar Events and Triggers,"Daniel V. Klein, Dean Jackson","Defensive Publications Series, Technical Disclosure Commons (2015)",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Unconstrained Online Linear Learning in Hilbert Spaces: Minimax Algorithms and Normal Approximations,"H. Brendan McMahan, Francesco Orabona",Proceedings of the 27th Annual Conference on Learning Theory (COLT) (2014),/pubs/archive/42504.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Summary of Opus listening test results,"Christian Hoene, Jean-Marc Valin, Koen Vos, Jan Skoglund","IETF, IETF (2011)",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Fast and Accurate Recurrent Neural Network Acoustic Models for Speech Recognition,"Hasim Sak, Andrew W. Senior, Kanishka Rao, Francoise Beaufays","CoRR, vol. abs/1507.06947 (2015)",/pubs/archive/43894.pdf
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,The Network Value of Products,"Gal Oestreicher-Singer, Barak Libai, Liron Sivan, Eyal Carmi, Ohad Yassin","Journal of Marketing, vol. 77(3) (2013), pp. 1-14",
Education Innovation,http://research.google.com/pubs/EducationInnovation.html,An Antidote to Impostor Syndrome,"Dean Jackson, Taliver Heath","XRDS, vol. Volume 21, No. 2 (2014), pp. 12-13",/pubs/archive/43250.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Google Search by Voice: A Case Study,"Johan Schalkwyk, Doug Beeferman, Francoise Beaufays, Bill Byrne, Ciprian Chelba, Mike Cohen, Maryam Garrett, Brian Strope","Advances in Speech Recognition: Mobile Environments, Call Centers and Clinics, Springer (2010), pp. 61-90",/pubs/archive/36340.pdf
Data Management,http://research.google.com/pubs/DataManagement.html,Achieving completion time guarantees in an opportunistic data migration scheme,"Jianyong Zhang, Prasenjit Sarkar, Anand Sivasubramaniam","ACM SIGMETRICS Performance Evaluation Review, vol. 33 (2006), pp. 11-16",
Data Mining,http://research.google.com/pubs/DataMining.html,KDD tutorial: The Dataminer Guide to Scalable Mixed-Membership and Nonparametric Bayesian Models,"Amr Ahmed, Alexander J Smola",ACM conference on Knowledge Discovery and Data Mining (KDD) (2013) (to appear),
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Machine Learning Applications for Data Center Optimization,Jim Gao,Google (2014),/pubs/archive/42542.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Vanity or Privacy? Social Media as a Facilitator of Privacy and Trust,Jessica Staddon,CSCW Workshop: Reconciling Privacy with Social Media (2012),/pubs/archive/37673.pdf
Education Innovation,http://research.google.com/pubs/EducationInnovation.html,Self-evaluation in Advanced Power Searching and Mapping with Google MOOCs,"Julia Wilkowski, Daniel M. Russell, Amit Deutsch",ACM Learning at Scale (2014),/pubs/archive/41928.pdf
Data Management,http://research.google.com/pubs/DataManagement.html,Building MEMS-Based Storage Systems for Streaming Media,"Raju Rangaswami, Zoran Dimitrijevic, Edward Chang, Klaus Schauser","ACM Transactions on Storage, vol. 9 (2007)",/pubs/archive/33006.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,The Viability of Web-derived Polarity Lexicons,"Leonid Velikovich, Sasha Blair-Goldensohn, Kerry Hannan, Ryan McDonald",North American Chapter of the Association for Computational Linguistics (2010),/pubs/archive/36267.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Tour the world: a technical demonstration of a web-scale landmark recognition engine,"Yan-Tao Zheng, Ming Zhao, Yang Song, Hartwig Adam, Ulrich Buddemeier, Alessandro Bissacco, Fernando Brucher, Tat-Seng Chua, Hartmut Neven, Jay Yagnik","MM '09: Proceedings of the seventeen ACM international conference on Multimedia, ACM, New York, NY, USA (2009), pp. 961-962",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Secure EPC Gen2 Compliant Radio Frequency Identification,"Mike Burmester, Breno Medeiros, Jorge Munilla, Alberto Peinado","ADHOC-NOW '09: Proceedings of the 8th International Conference on Ad-Hoc, Mobile and Wireless Networks, Springer-Verlag, Berlin, Heidelberg (2009), pp. 227-240",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,The Bigger Picture: The Use of Mobile Photos in Shopping,"Maryam Tohidi, Andrew Warr","INTERACT 2013, Springer",
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Blame for all,"Amal Ahmed, Robert Bruce Findler, Jacob Matthews, Philip Wadler","STOP '09: Proceedings for the 1st workshop on Script to Program Evolution, ACM, New York, NY, USA (2009), pp. 1-13",
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Capirca,Paul (Tony) Watson,Blackhat USA (2011) (to appear),
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Discrete Graph Hashing,"Wei Liu, Cun Mu, Sanjiv Kumar, Shih-Fu Chang",Neural Information Processing Systems (2014),/pubs/archive/43145.pdf
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,Bespoke infrastructures,Diomidis Spinellis,"IEEE Software, vol. 31 (2014), pp. 12-14",/pubs/archive/41868.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Catching a viral video,"Tom Broxton, Yannet Interian, Jon Vaver, Mirjam Wattenhofer","Journal of Intelligent Information Systems (2011), pp. 1-19",/pubs/archive/37650.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Thwarting Virtual Bottlenecks in Multi-Bitrate Streaming Servers,"Bin Liu, Raju Rangaswami, Zoran Dimitrijevic","IEEE RTSS, IEEE RTSS (2005)",/pubs/archive/34371.pdf
Networking,http://research.google.com/pubs/Networking.html,On the Accuracy of Multi-hop Relative Location Estimation in Wireless Sensor Networks,"Adel Youssef, Mohamed Younis, Moustafa Youssef, Ashok Agrawala","Proc. 2007 International Conference on Wireless Communications and Mobile Computing, ACM, Honolulu, pp. 481-486",/pubs/archive/33304.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Multi-armed bandit experiments in the online service economy,Steven L. Scott,"Applied Stochastic Models in Business and Industry, vol. 31 (2015), pp. 37-49",/pubs/archive/42550.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,"Trust, but Verify: Predicting Contribution Quality for Knowledge Base Construction and Curation","Chun How Tan, Eugene Agichtein, Panos Ipeirotis, Evgeniy Gabrilovich",WSDM (2014) (to appear),/pubs/archive/42023.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Distributed Large-scale Natural Graph Factorization,"Amr Ahmed, Nino Shervashidze, Shravan Narayanamurthy,, Vanja Josifovski, Alexander J Smola",Proceedings of the 22nd International World Wide Web Conference (WWW 2013) (to appear),/pubs/archive/40839.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Comparative Experiments on Sentiment Classification for Online Product Reviews,"Hang Cui, Vibhu Mittal, Mayur Datar","Proceedings of the 21st National Conference on Artificial Intelligence, AAAI, Boston, MA (2006)",/pubs/archive/4.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Enhanced Search with Wildcards and Morphological Inflections in the Google Books Ngram Viewer,"Jason Mann, David Zhang, Lu Yang, Dipanjan Das, Slav Petrov","Proceedings of the 52th Annual Meeting of the Association for Computational Linguistics (Demonstrations), Association for Computational Linguistics (2014)",/pubs/archive/42490.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Systematic Software Testing: The Korat Approach,"Chandrasekhar Boyapati, Sarfraz Khurshid, Darko Marinov","Foundations of Software Engineering (FSE), ACM (2012), pp. 1",/pubs/archive/40660.pdf
Data Management,http://research.google.com/pubs/DataManagement.html,Recent Progress Towards an Ecosystem of Structured Data on the Web,"Nitin Gupta, Alon Y. Halevy, Boulos Harb, Heidi Lam, Hongrae Lee, Jayant Madhavan, Fei Wu, Cong Yu","ICDE (2013), pp. 5-8",/pubs/archive/42032.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Discriminative Tag Learning on YouTube Videos with Latent Sub-tags,"Weilong Yang, George Toderici","Computer Vision and Pattern Recognition, IEEE (2011)",/pubs/archive/36931.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Browsing on Small Screens: Recasting Web-Page Segmentation into an Efficient Machine Learning Framework,Shumeet Baluja,"Proceedings of the Fifteenth International World Wide Web Conference, Edinburgh, Scotland (2006)",/pubs/archive/53.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Distributed Gibbs sampling for latent variable models,"Arthur Asuncion, Padhraic Smyth, Max Welling, David Newman, Ian Porteous, Scott Triglia","Scaling up Machine Learning, Cambridge (2012) (to appear)",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,"T(ether): Spatially-Aware Handhelds, Gestures and Proprioception for Multi-User 3D Modeling and Animation","David Lakatos, Matthew Blackshaw, Alex Olwal, Zachary Barryte, Ken Perlin, Hiroshi Ishii","ACM Symposium on Spatial User Interaction, ACM (2014), pp. 90-93",/pubs/archive/43152.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Local Approximation of PageRank and Reverse PageRank,"Ziv Bar-Yossef, Li-Tal Mashiach","Proceedings of the 17th ACM Conference on Information and Knowledge Management (CIKM) (2008), pp. 279-288",/pubs/archive/34455.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Real-Time Human Pose Tracking from Range Data,"Varun Ganapathi, Christian Plagemann, Daphne Koller, Sebastian Thrun",Proceedings of the European Conference on Computer Vision (ECCV) (2012),/pubs/archive/39958.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Magda: A New Language for Modularity,"Jarek Kusmierek, Viviana Bono, Mauro Mulatero","Lecture Notes in Computer Science, Springer (2012), pp. 560-588",
General Science,http://research.google.com/pubs/GeneralScience.html,Unlocking the Potential of Conjoint Analysis/Discrete Choice Modeling and MaxDiff Scaling in Public Opinion and Survey Research,"Steven Ellis, Mario Callegaro, Chris Chapman","American Association for Public Opinion Research (2013), Panel",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,"Communities, Random Walks, and Social Sybil Defense.","Lorenzo Alvisi, Allen Clement, Alessandro Epasto, Silvio Lattanzi, Alessandro Panconesi",Internet Mathematics (2014),
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Euclidean Embedding of Co-occurrence Data,"Amir Globerson, Gal Chechik, Fernando Pereira, Naftali Tishby","Journal of Machine Learning Research, vol. 8 (2007), pp. 2265-2295",/pubs/archive/34951.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Sok: The Evolution of Sybil Defense via Social Networks,"Lorenzo Alvisi, Allen Clement, Alessandro Epasto, Silvio Lattanzi, Alessandro Panconesi","2013 IEEE Symposium on Security and Privacy, SP 2013",
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,K2Q: Generating Natural Language Questions from Keywords with User Refinements,"Zhicheng Zheng, Xiance Si, Edward Y. Chang, Xiaoyan Zhu","Proceedings of the 5th International Joint Conference on Natural Language Processing, ACL (2011), 947-955",/pubs/archive/37566.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,How difficult is it to develop a perfect spell-checker? A cross-linguistic analysis through complex network approach,"Monojit Choudhury, Markose Thomas, Animesh Mukherjee, Niloy Ganguly, Anupam Basu","Textgraphs 2 Workshop, at HLT/NAACL, ACL (2007), pp. 8",
